id,Date,Max Temperature,Min Temperature,lon,lat
100,1979-4-10,39.613,21.127,32.077942,15.2491215
101,1979-4-11,41.032,21.776,32.077942,15.2491215
102,1979-4-12,41.037,21.391,32.077942,15.2491215
103,1979-4-13,44.021,21.772,32.077942,15.2491215
104,1979-4-14,44.625,23.119,32.077942,15.2491215
105,1979-4-15,42.785,24.407,32.077942,15.2491215
106,1979-4-16,41.817,26.2,32.077942,15.2491215
107,1979-4-17,42.995,25.695,32.077942,15.2491215
108,1979-4-18,44.332,26.377,32.077942,15.2491215
109,1979-4-19,43.706,28.291,32.077942,15.2491215
110,1979-4-20,44.114,24.217,32.077942,15.2491215
111,1979-4-21,45.644,25.162,32.077942,15.2491215
112,1979-4-22,43.742,28.527,32.077942,15.2491215
113,1979-4-23,43.309,28.811,32.077942,15.2491215
114,1979-4-24,42.846,27.462,32.077942,15.2491215
115,1979-4-25,40.237,27.68,32.077942,15.2491215
116,1979-4-26,41.114,25.228,32.077942,15.2491215
117,1979-4-27,42.28,25.51,32.077942,15.2491215
118,1979-4-28,43.492,27.299,32.077942,15.2491215
119,1979-4-29,42.215,29.02,32.077942,15.2491215
120,1979-4-30,39.421,29.076,32.077942,15.2491215
121,1979-5-1,38.047,27.322,32.077942,15.2491215
122,1979-5-2,37.808,26.32,32.077942,15.2491215
123,1979-5-3,40.2,25.112,32.077942,15.2491215
124,1979-5-4,37.553,26.462,32.077942,15.2491215
125,1979-5-5,39.752,25.725,32.077942,15.2491215
126,1979-5-6,42.353,28.391,32.077942,15.2491215
127,1979-5-7,41.262,26.082,32.077942,15.2491215
128,1979-5-8,40.365,21.552,32.077942,15.2491215
129,1979-5-9,40.358,18.964,32.077942,15.2491215
130,1979-5-10,42.09,22.991,32.077942,15.2491215
131,1979-5-11,41.924,22.894,32.077942,15.2491215
132,1979-5-12,44.471,21.469,32.077942,15.2491215
133,1979-5-13,41.494,21.908,32.077942,15.2491215
134,1979-5-14,43.299,25.314,32.077942,15.2491215
