158,3,1997,,,5330,2920,1,1
159,3,1998,,,6310,4830,1,1
160,3,1999,,,4630,2435,1,1
161,3,2000,,,4540,2760,1,1
162,3,2001,,,5925,4470,1,1
163,3,2002,,,5000,2930,1,1
164,3,2003,,,7000,5190,1,1
165,3,2004,,,3820,2700,1,1
166,3,2005,,,9865,5002,1,1
167,3,2006,,,6485,4327,1,1
168,3,2007,,,6523,4999,1,1
169,3,2008,,,6619,3869,1,1
170,3,2009,,,6653,4192,1,1
171,3,2010,,,5613,2630,0,1
172,3,2011,,,7257,4605,1,1
173,3,2012,,,4103,2249,1,1
174,3,2013,,,7080,4524,1,1
175,3,2014,,,8378,6281,1,1
176,3,2015,,,5197,2744,1,1
177,3,2016,,,9158,6466,1,1
178,3,2017,,,5412,3743,1,1
179,3,2018,,,7000,4953,1,1
180,3,2019,,,7000,4000,1,1
181,4,1960,,,380,525,301,1
182,4,1961,,,476,975,446,1
183,4,1962,,,448,721,350,1
184,4,1963,,,441,452,223,1
185,4,1964,,,449,700,339,1
186,4,1965,,,441,750,370,1
187,4,1966,,,486,890,399,1
188,4,1967,,,486,900,403,1
189,4,1968,,,488,1050,468,1
190,4,1969,,,529,1130,465,1
191,4,1970,,,510,1130,482,1
192,4,1971,,,506,1125,484,1
193,4,1972,,,486,920,412,1
194,4,1973,,,496,1096,481,1
195,4,1974,,,495,1030,453,1
196,4,1975,,,401,509,276,1
197,4,1976,,,410,740,393,1
198,4,1977,,,456,907,433,1
199,4,1978,,,419,640,333,1
200,4,1979,,,411,523,277,1
201,4,1980,,,388,445,250,1
202,4,1981,,,362,712,428,1
203,4,1982,,,412,946,500,1
204,4,1983,,,400,1020,555,1
205,4,1984,,,360,932,564,1
206,4,1985,,,326,652,435,1
207,4,1986,,,346,749,471,1
208,4,1987,,,318,625,428,1
209,4,1988,,,313,637,443,1
210,4,1989,,,279,584,456,1
211,4,1990,,,196,380,422,1
212,4,1991,,,192,386,438,1
213,4,1992,,,152,276,395,1
214,4,1993,,,110,216,428,1
215,4,1994,,,174,400,501,1
216,4,1995,,,220,490,485,1
217,4,1996,,,180,485,587,1
218,4,1997,,,180,400,484,1
219,4,1998,,,120,210,381,1
220,4,1999,,,165,240,317,1
221,4,2000,,,170,340,435,1
222,4,2001,,,150,330,479,1
223,4,2002,,,155,375,527,1
224,4,2003,,,179,310,377,1
225,4,2004,,,210,525,544,1
226,4,2005,,,170,330,423,1
227,4,2006,,,160,270,367,1
228,4,2007,,,52,105,440,1
229,4,2008,,,85,135,346,1
230,4,2009,,,24,45,408,1
231,4,2010,,,42,55,285,1
232,4,2011,,,127,195,334,1
233,4,2012,,,45,75,363,1
234,4,2013,,,127,160,274,1
235,4,2014,,,46,140,663,1
236,4,2015,,,62,210,737,1
237,4,2016,,,96,360,816,1
238,4,2017,,,180,475,575,1
239,4,2018,,,180,500,605,1
240,4,2019,,,200,600,653,1
