id,Date,Precipitation,lon,lat
126,5/6/1979,0.37765476,32.077942,15.2491215
127,5/7/1979,0,32.077942,15.2491215
128,5/8/1979,0,32.077942,15.2491215
129,5/9/1979,0,32.077942,15.2491215
130,5/10/1979,0,32.077942,15.2491215
131,5/11/1979,0,32.077942,15.2491215
132,5/12/1979,0,32.077942,15.2491215
133,5/13/1979,0,32.077942,15.2491215
134,5/14/1979,0,32.077942,15.2491215
135,5/15/1979,0,32.077942,15.2491215
136,5/16/1979,0,32.077942,15.2491215
137,5/17/1979,0,32.077942,15.2491215
138,5/18/1979,0,32.077942,15.2491215
139,5/19/1979,0,32.077942,15.2491215
140,5/20/1979,0,32.077942,15.2491215
141,5/21/1979,0,32.077942,15.2491215
142,5/22/1979,0,32.077942,15.2491215
143,5/23/1979,0,32.077942,15.2491215
144,5/24/1979,0,32.077942,15.2491215
145,5/25/1979,0,32.077942,15.2491215
146,5/26/1979,0,32.077942,15.2491215
147,5/27/1979,0,32.077942,15.2491215
148,5/28/1979,0.072097646,32.077942,15.2491215
149,5/29/1979,1.51405272,32.077942,15.2491215
150,5/30/1979,0.451469556,32.077942,15.2491215
151,5/31/1979,0,32.077942,15.2491215
152,6/1/1979,0,32.077942,15.2491215
153,6/2/1979,0,32.077942,15.2491215
154,6/3/1979,0,32.077942,15.2491215
155,6/4/1979,0,32.077942,15.2491215
156,6/5/1979,0,32.077942,15.2491215
157,6/6/1979,0,32.077942,15.2491215
158,6/7/1979,0,32.077942,15.2491215
159,6/8/1979,0.9372708,32.077942,15.2491215
160,6/9/1979,0.430870068,32.077942,15.2491215
161,6/10/1979,0,32.077942,15.2491215
162,6/11/1979,0,32.077942,15.2491215
163,6/12/1979,0,32.077942,15.2491215
164,6/13/1979,1.5157692,32.077942,15.2491215
165,6/14/1979,0,32.077942,15.2491215
166,6/15/1979,1.42994052,32.077942,15.2491215
167,6/16/1979,1.36299168,32.077942,15.2491215
168,6/17/1979,0.048065184,32.077942,15.2491215
169,6/18/1979,0,32.077942,15.2491215
