id,Date,Max Temperature,Min Temperature,lon,lat,,
94,292032000,45.794,25.011,32.077942,15.2491215,2.52294E+13,
95,292118400,44.995,24.93,32.077942,15.2491215,2.52368E+13,
96,292204800,43.018,24.987,32.077942,15.2491215,2.52443E+13,
97,292291200,42.743,24.371,32.077942,15.2491215,2.52518E+13,
98,292377600,41.378,24.843,32.077942,15.2491215,2.52592E+13,
99,292464000,39.961,22.986,32.077942,15.2491215,2.52667E+13,
100,292550400,39.613,21.127,32.077942,15.2491215,2.52741E+13,
101,292636800,41.032,21.776,32.077942,15.2491215,2.52816E+13,
102,292723200,41.037,21.391,32.077942,15.2491215,2.52891E+13,
103,292809600,44.021,21.772,32.077942,15.2491215,2.52965E+13,
104,292896000,44.625,23.119,32.077942,15.2491215,2.5304E+13,
105,292982400,42.785,24.407,32.077942,15.2491215,2.53115E+13,
106,293068800,41.817,26.2,32.077942,15.2491215,2.53189E+13,
107,293155200,42.995,25.695,32.077942,15.2491215,2.53264E+13,
108,293241600,44.332,26.377,32.077942,15.2491215,2.53339E+13,
109,293328000,43.706,28.291,32.077942,15.2491215,2.53413E+13,
110,293414400,44.114,24.217,32.077942,15.2491215,2.53488E+13,
111,293500800,45.644,25.162,32.077942,15.2491215,2.53563E+13,
112,293587200,43.742,28.527,32.077942,15.2491215,2.53637E+13,
113,293673600,43.309,28.811,32.077942,15.2491215,2.53712E+13,
114,293760000,42.846,27.462,32.077942,15.2491215,2.53787E+13,
115,293846400,40.237,27.68,32.077942,15.2491215,2.53861E+13,
116,293932800,41.114,25.228,32.077942,15.2491215,2.53936E+13,
117,294019200,42.28,25.51,32.077942,15.2491215,2.5401E+13,
118,294105600,43.492,27.299,32.077942,15.2491215,2.54085E+13,
119,294192000,42.215,29.02,32.077942,15.2491215,2.5416E+13,
120,294278400,39.421,29.076,32.077942,15.2491215,2.54234E+13,
121,294364800,38.047,27.322,32.077942,15.2491215,2.54309E+13,
122,294451200,37.808,26.32,32.077942,15.2491215,2.54384E+13,
123,294537600,40.2,25.112,32.077942,15.2491215,2.54458E+13,
124,294624000,37.553,26.462,32.077942,15.2491215,2.54533E+13,
125,294710400,39.752,25.725,32.077942,15.2491215,2.54608E+13,
126,294796800,42.353,28.391,32.077942,15.2491215,2.54682E+13,
127,294883200,41.262,26.082,32.077942,15.2491215,2.54757E+13,
128,294969600,40.365,21.552,32.077942,15.2491215,2.54832E+13,
129,295056000,40.358,18.964,32.077942,15.2491215,2.54906E+13,
130,295142400,42.09,22.991,32.077942,15.2491215,2.54981E+13,
131,295228800,41.924,22.894,32.077942,15.2491215,2.55056E+13,
132,295315200,44.471,21.469,32.077942,15.2491215,2.5513E+13,
133,295401600,41.494,21.908,32.077942,15.2491215,2.55205E+13,
134,295488000,43.299,25.314,32.077942,15.2491215,2.5528E+13,
135,295574400,44.149,24.642,32.077942,15.2491215,2.55354E+13,
136,295660800,45.909,22.974,32.077942,15.2491215,2.55429E+13,
137,295747200,42.74,29.544,32.077942,15.2491215,2.55503E+13,
138,295833600,41.167,27.873,32.077942,15.2491215,2.55578E+13,
139,295920000,45.483,26.061,32.077942,15.2491215,2.55653E+13,
140,296006400,43.282,25.386,32.077942,15.2491215,2.55727E+13,
141,296092800,42.806,27.849,32.077942,15.2491215,2.55802E+13,
142,296179200,44.65,27.738,32.077942,15.2491215,2.55877E+13,
143,296265600,39.349,27.356,32.077942,15.2491215,2.55951E+13,
144,296352000,40.615,27.762,32.077942,15.2491215,2.56026E+13,
145,296438400,40.048,28.881,32.077942,15.2491215,2.56101E+13,
146,296524800,42.754,28.574,32.077942,15.2491215,2.56175E+13,
147,296611200,41.696,27.924,32.077942,15.2491215,2.5625E+13,
148,296697600,41.153,28.772,32.077942,15.2491215,2.56325E+13,
149,296784000,41.079,27.381,32.077942,15.2491215,2.56399E+13,
150,296870400,39.791,28.147,32.077942,15.2491215,2.56474E+13,
151,296956800,43.366,26.819,32.077942,15.2491215,2.56549E+13,
152,297043200,42.377,30.295,32.077942,15.2491215,2.56623E+13,
153,297129600,46.245,26.405,32.077942,15.2491215,2.56698E+13,
154,297216000,43.466,30.55,32.077942,15.2491215,2.56773E+13,
155,297302400,44.539,29.065,32.077942,15.2491215,2.56847E+13,
156,297388800,43.447,30.962,32.077942,15.2491215,2.56922E+13,
157,297475200,45.869,28.02,32.077942,15.2491215,2.56996E+13,
158,297561600,39.532,28.915,32.077942,15.2491215,2.57071E+13,
159,297648000,42.96,26.58,32.077942,15.2491215,2.57146E+13,
160,297734400,41.312,29.449,32.077942,15.2491215,2.5722E+13,
161,297820800,42.265,28.16,32.077942,15.2491215,2.57295E+13,
162,297907200,45.624,27.727,32.077942,15.2491215,2.5737E+13,
163,297993600,40.869,28.719,32.077942,15.2491215,2.57444E+13,
164,298080000,38.988,27.927,32.077942,15.2491215,2.57519E+13,
165,298166400,34.411,26.778,32.077942,15.2491215,2.57594E+13,
166,298252800,39.46,26.835,32.077942,15.2491215,2.57668E+13,
167,298339200,39.808,28.537,32.077942,15.2491215,2.57743E+13,
168,298425600,37.584,26.687,32.077942,15.2491215,2.57818E+13,
169,298512000,39.272,25.67,32.077942,15.2491215,2.57892E+13,
170,298598400,40.94,26.236,32.077942,15.2491215,2.57967E+13,
171,298684800,40.94,29.446,32.077942,15.2491215,2.58042E+13,
172,298771200,39.271,27.914,32.077942,15.2491215,2.58116E+13,
173,298857600,40.051,28.85,32.077942,15.2491215,2.58191E+13,
174,298944000,40.544,27.824,32.077942,15.2491215,2.58266E+13,
175,299030400,41.961,28.336,32.077942,15.2491215,2.5834E+13,
176,299116800,44.172,28.565,32.077942,15.2491215,2.58415E+13,
177,299203200,41.755,29.509,32.077942,15.2491215,2.58489E+13,
178,299289600,39.254,29.715,32.077942,15.2491215,2.58564E+13,
179,299376000,39.838,29.111,32.077942,15.2491215,2.58639E+13,
180,299462400,38.138,27.312,32.077942,15.2491215,2.58713E+13,
181,299548800,38.989,27.233,32.077942,15.2491215,2.58788E+13,
182,299635200,37.203,28.036,32.077942,15.2491215,2.58863E+13,
183,299721600,36.784,27.584,32.077942,15.2491215,2.58937E+13,
184,299808000,37.642,25.735,32.077942,15.2491215,2.59012E+13,
185,299894400,36.141,26.456,32.077942,15.2491215,2.59087E+13,
186,299980800,36.398,25.883,32.077942,15.2491215,2.59161E+13,
